STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	1	A01	3	0.98259570471242	0.0377496490893672	0.97451373790958	0.112470764462308	0.991935310820491	0.079619901381502	0.98259570471242	0.0377496490893672	0.97451373790958	0.112470764462308	0.991935310820491	0.079619901381502	1	1	1	1	1	1
ctrl	10	A01	4	1.01628738645848	0.0293584595896389	1.01994484468068	0.0664889838063214	1.00507467057403	0.0415490743727416	1.01628738645848	0.0293584595896389	1.01994484468068	0.0664889838063214	1.00507467057403	0.0415490743727416	1	1	1	1	1	1
ctrl	11	A01	4	0.989679696982774	0.0148969483962636	1.00025412481725	0.0685007984187842	1.01225438698485	0.0568879122866204	0.989679696982774	0.0148969483962636	1.00025412481725	0.0685007984187842	1.01225438698485	0.0568879122866204	1	1	1	1	1	1
ctrl	12	A01	4	1.00551126774114	0.011456361456958	1.01476944653757	0.0357193692464554	1.01119627946283	0.0287758259406027	1.00551126774114	0.011456361456958	1.01476944653757	0.0357193692464554	1.01119627946283	0.0287758259406027	1	1	1	1	1	1
ctrl	13	A01	3	0.997179539033723	0.019639941757387	0.993724448697567	0.0147870999587367	0.998760656785011	0.016866083107974	0.997179539033723	0.019639941757387	0.993724448697567	0.0147870999587367	0.998760656785011	0.016866083107974	1	1	1	1	1	1
ctrl	14	A01	4	1.00468419250097	0.0148944437027987	0.999471952882165	0.0426839800487444	0.996754004957249	0.0350220499250692	1.00468419250097	0.0148944437027987	0.999471952882165	0.0426839800487444	0.996754004957249	0.0350220499250692	1	1	1	1	1	1
ctrl	15	A01	4	0.994744170737607	0.0214783114894614	0.979060888037042	0.0770603420762171	0.98646375786597	0.0787780430449652	0.994744170737607	0.0214783114894614	0.979060888037042	0.0770603420762171	0.98646375786597	0.0787780430449652	1	1	1	1	1	1
ctrl	2	A01	4	0.992802985683292	0.0216770101422679	0.995148123344544	0.021886090902699	1.00467402865688	0.0248088769670376	0.992802985683292	0.0216770101422679	0.995148123344544	0.021886090902699	1.00467402865688	0.0248088769670376	1	1	1	1	1	1
ctrl	3	A01	4	0.992700250632627	0.012310907225713	0.998751141856211	0.0552402627589954	1.00849015159865	0.0613801044892774	0.992700250632627	0.012310907225713	0.998751141856211	0.0552402627589954	1.00849015159865	0.0613801044892774	1	1	1	1	1	1
ctrl	4	A01	4	0.992403438967164	0.023726566780812	1.01262640893686	0.0133939935067228	1.02274250213511	0.0154185259582615	0.992403438967164	0.023726566780812	1.01262640893686	0.0133939935067228	1.02274250213511	0.0154185259582615	1	1	1	1	1	1
ctrl	5	A01	4	1.00682453155608	0.0307984881798275	0.993780128130146	0.0393225374519626	0.989005333350252	0.0195975081176103	1.00682453155608	0.0307984881798275	0.993780128130146	0.0393225374519626	0.989005333350252	0.0195975081176103	1	1	1	1	1	1
ctrl	6	A01	4	1.00005325013118	0.00848492043386517	0.998545709814632	0.0396395359065304	1.00054961020214	0.0381690986584846	1.00005325013118	0.00848492043386517	0.998545709814632	0.0396395359065304	1.00054961020214	0.0381690986584846	1	1	1	1	1	1
ctrl	7	A01	3	1.00164929248828	0.021768001317217	0.990995176909689	0.0285164362746107	0.991430715983594	0.0191970280718331	1.00164929248828	0.021768001317217	0.990995176909689	0.0285164362746107	0.991430715983594	0.0191970280718331	1	1	1	1	1	1
ctrl	8	A01	4	1.02596775644725	0.0151248755514168	1.02393507127956	0.00402177982252999	1.00022413892324	0.0115364318931807	1.02596775644725	0.0151248755514168	1.02393507127956	0.00402177982252999	1.00022413892324	0.0115364318931807	1	1	1	1	1	1
sham.tata	1	A02	4	0.244339351744913	0.0160480200583478	0.217486200995647	0.0119939781338687	0.892927761777592	0.0339990044994137	1.00443547943134	0.0659705471350304	1.0019018618035	0.0552531101639601	1.0043787854379	0.038242599577415	1	1	1	1	1	1
ems.tata	10	A02	4	0.250285318693769	0.00517575267418	0.221941126006593	0.0197325990570507	0.88858824308247	0.0771282429801754	1.02887828866492	0.0212765957738001	1.02242453240158	0.090902906221054	0.999497628525819	0.0867550257964568	0.336041131105398	0.33920296570899	0.467163795320134	0.468053338825104	0.597482661186745	0.594948453608247
sham.wt	11	A02	4	1.00371996448912	0.00881984198533264	1.02397709316494	0.0524661404030351	1.02227317626966	0.0509676899264682	1.00371996448912	0.00881984198533264	1.02397709316494	0.0524661404030351	1.02227317626966	0.0509676899264682	1	1	1	1	1	1
ems.m76	12	A02	4	0.221208997966149	0.0118949146647107	1.00139346575091	0.908391612914726	4.52913501389149	4.07730087670752	0.991471948838706	0.05331371839447	1.73459501813246	1.57349894938014	1.78321254198405	1.605316255419	0.495350629334703	0.495450573176374	0.670591865069162	0.672330347029142	0.625746960642901	0.62015344215025
ems.m76	13	A02	3	0.187159318857748	0.0386654718035267	0.660980710394023	0.195307016660842	3.71203003794126	1.55264652611827	0.838859252188343	0.173300955360221	1.14493841486311	0.338307158667318	1.46150169945828	0.611308505961974	0.279511815112958	0.279048063462436	0.525779625779626	0.528132461330842	0.324659102737587	0.326865207014631
ems.m76	14	A02	4	0.248007798150007	0.0583576625964494	1.20400036218269	1.03035474383421	4.43090116994117	2.58174446720104	1.1115857728202	0.261562531344352	2.08554689190599	1.78476120195549	1.74453588031637	1.01648528913145	0.543323717288275	0.539931179703148	0.237548878370035	0.237760082198818	0.20490241516041	0.201426665298163
sham.wt	15	A02	4	0.991330803792977	0.00820618349931076	1.01176386070922	0.0402585311136922	1.02298844837319	0.0478055279923902	0.991330803792977	0.00820618349931076	1.01176386070922	0.0402585311136922	1.02298844837319	0.0478055279923902	1	1	1	1	1	1
ems.tata	2	A02	4	0.245890633306807	0.0241494738731514	0.147748157412302	0.0137066859359582	0.602497420979171	0.0179438826060271	1.01081252114905	0.0992741782875662	0.680636993573604	0.0631431056109484	0.677698301940862	0.020183553238398	0.640547071828886	0.641923868312757	0.0040133779264214	0.00380893555692814	0.000256976923472272	0.000257320776079461
sham.wt	3	A02	4	1.00340722373236	0.0240615154911995	0.990834466256117	0.0768253466570673	0.988727569519845	0.0562864917817666	1.00340722373236	0.0240615154911995	0.990834466256117	0.0768253466570673	0.988727569519845	0.0562864917817666	1	1	1	1	1	1
ems.m76	4	A02	3	0.266586170873097	0.0443588585738959	0.966398130802029	0.689329895402087	3.86785453993342	3.21332296741671	1.19485514965103	0.198819055114801	1.67397675394728	1.19404434251786	1.52285297413845	1.26515058600993	0.235541480635448	0.233673945744074	0.380643487285937	0.381051211539459	0.701839152119701	0.699120570328355
