STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	12	A01	4	0.99820772268217	0.0164297529426367	0.986426478177158	0.0805885114255459	0.98680879481286	0.0660302456149628	0.99820772268217	0.0164297529426367	0.986426478177158	0.0805885114255459	0.98680879481286	0.0660302456149628	1	1	1	1	1	1
ctrl	13	A01	3	1.00250668117318	0.0236669292181225	1.07245895548357	0.07937475796675	1.06597438537081	0.0531912469178092	1.00250668117318	0.0236669292181225	1.07245895548357	0.07937475796675	1.06597438537081	0.0531912469178092	1	1	1	1	1	1
ctrl	14	A01	4	0.989611280392657	0.0123152859811906	1.0474773631125	0.0626695790238504	1.06238278841415	0.0613176405515093	0.989611280392657	0.0123152859811906	1.0474773631125	0.0626695790238504	1.06238278841415	0.0613176405515093	1	1	1	1	1	1
ctrl	15	A01	4	0.982518817231375	0.0164691363461732	0.971340410821375	0.0920004325164619	0.995435250746767	0.0841618438816128	0.982518817231375	0.0164691363461732	0.971340410821375	0.0920004325164619	0.995435250746767	0.0841618438816128	1	1	1	1	1	1
ctrl	16	A01	4	0.990918598010604	0.0248252144814807	0.949935952253645	0.107194699437886	0.960153040883514	0.0873920049344181	0.990918598010604	0.0248252144814807	0.949935952253645	0.107194699437886	0.960153040883514	0.0873920049344181	1	1	1	1	1	1
sham.tata	01	A02	4	1.00400197963718	0.020397888439367	1.07285068910022	0.0561830787094997	1.06441522708316	0.0389035108690795	1.00475824905095	0.0204208898115299	1.07233307344417	0.0561559721965041	1.06509903873967	0.0389285036289805	1	1	1	1	1	1
ems.tata	02	A02	3	1.03094521225836	0.067332855761618	0.602978111238003	0.0586102631978528	0.576992421336002	0.0682399400621752	1.03173186380323	0.0674087826438934	0.602687193858907	0.0585819856470766	0.577363098242332	0.06828377940726	0.128325186519166	0.129787452510525	0.00159522461791797	0.00159456818064914	5.15039142974866e-05	5.14853524172373e-05
sham.wt	03	A02	4	1.01826063649686	0.00848914531398478	1.04819715923788	0.055709174104427	1.02757642393229	0.047128990019712	1.01826063649686	0.00848914531398478	1.04819715923788	0.055709174104427	1.02757642393229	0.047128990019712	1	1	1	1	1	1
ems.m76	04	A02	4	0.990303316646429	0.0379155578203797	0.974514222782147	0.141423754187306	0.984534394826036	0.105411501494261	0.990849033595054	0.0379470526573515	0.971840552749999	0.141035745018669	0.979865856039925	0.104911653357096	0.492563429571304	0.492672391628529	0.612474332648871	0.611494845360825	0.606026326614562	0.601709313700252
ems.m76	05	A02	4	0.974552986193543	0.0362519287675528	0.781166417535621	0.114918720162987	0.808905183768349	0.0974365260521888	0.975085620014333	0.0362820416988146	0.779023215115524	0.11460343001016	0.805069456703297	0.0969744942496952	0.158089939731108	0.16466049382716	0.00957923469124994	0.0101010101010101	0.00855405544676904	0.0100895706784722
ems.m76	06	A02	4	0.978559377692156	0.0225118365167908	0.7125156486454	0.0892464341931981	0.734428369721348	0.0824362443922085	0.979095339451511	0.0225305361393669	0.71056079596836	0.089001578334761	0.730945802380194	0.0820453420465427	0.156892024097626	0.152175032175032	0.00107974703069567	0.00123444090114186	0.000875250991093034	0.00123418697932737
