STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	02	A01	3	0.996074350350125	0.0164205021842697	1.05460646018877	0.0432733726706132	1.05845118191111	0.0383806058130201	0.996074350350125	0.0164205021842697	1.05460646018877	0.0432733726706132	1.05845118191111	0.0383806058130201	1	1	1	1	1	1
ctrl	03	A01	4	0.984371797514084	0.0104765212795544	1.00770635990377	0.0505168892714142	1.02372325544267	0.0571196134884052	0.984371797514084	0.0104765212795544	1.00770635990377	0.0505168892714142	1.02372325544267	0.0571196134884052	1	1	1	1	1	1
ctrl	04	A01	4	1.01435031421025	0.0413667249078368	1.07304128155665	0.13443253489086	1.05490910019914	0.0929951573218685	1.01435031421025	0.0413667249078368	1.07304128155665	0.13443253489086	1.05490910019914	0.0929951573218685	1	1	1	1	1	1
ctrl	05	A01	4	0.976350128315767	0.0261572759974716	0.96668638130871	0.0827732980152915	0.989702360280738	0.077219320890727	0.976350128315767	0.0261572759974716	0.96668638130871	0.0827732980152915	0.989702360280738	0.077219320890727	1	1	1	1	1	1
ctrl	06	A01	3	0.965860633113898	0.0246704884085352	0.935344341003893	0.102061017452827	0.966835905678233	0.0824943549111535	0.965860633113898	0.0246704884085352	0.935344341003893	0.102061017452827	0.966835905678233	0.0824943549111535	1	1	1	1	1	1
ctrl	07	A01	4	0.993605460187757	0.013296364975565	1.0333086112603	0.0977434216638774	1.03907767264666	0.0872694093149327	0.993605460187757	0.013296364975565	1.0333086112603	0.0977434216638774	1.03907767264666	0.0872694093149327	1	1	1	1	1	1
ctrl	08	A01	4	0.969028855135186	0.020692432757702	0.997241473218784	0.0522223473053597	1.0289779534979	0.0527790409994334	0.969028855135186	0.020692432757702	0.997241473218784	0.0522223473053597	1.0289779534979	0.0527790409994334	1	1	1	1	1	1
ctrl	10	A01	4	1.01976325467137	0.0350588127628031	1.09083482841374	0.0818257957701581	1.06879475419131	0.0591902842390007	1.01976325467137	0.0350588127628031	1.09083482841374	0.0818257957701581	1.06879475419131	0.0591902842390007	1	1	1	1	1	1
ctrl	11	A01	4	1.00986352876196	0.0147228266074066	1.06178269028808	0.0419820342799823	1.05128619801771	0.0436954892701953	1.00986352876196	0.0147228266074066	1.06178269028808	0.0419820342799823	1.05128619801771	0.0436954892701953	1	1	1	1	1	1
ctrl	12	A01	4	1.02037758883282	0.0226853933250432	1.04233205500486	0.115613936763845	1.01995827950712	0.0933974596494548	1.02037758883282	0.0226853933250432	1.04233205500486	0.115613936763845	1.01995827950712	0.0933974596494548	1	1	1	1	1	1
