STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	01	A01	3	0.996808526982692	0.0120198005904891	1.03266038308214	0.0402031525743364	1.03250852676508	0.0409642716917733	0.996808526982692	0.0120198005904891	1.03266038308214	0.0402031525743364	1.03250852676508	0.0409642716917733	1	1	1	1	1	1
ctrl	02	A01	4	1.00139450403556	0.00666170112292151	1.08867846635865	0.0510049126793379	1.08359527345426	0.0538878885189567	1.00139450403556	0.00666170112292151	1.08867846635865	0.0510049126793379	1.08359527345426	0.0538878885189567	1	1	1	1	1	1
ctrl	03	A01	4	1.00040638138558	0.0181146204684702	1.00617228909022	0.108070696381738	1.00243478774606	0.107609356766229	1.00040638138558	0.0181146204684702	1.00617228909022	0.108070696381738	1.00243478774606	0.107609356766229	1	1	1	1	1	1
ctrl	04	A01	3	1.02345028163055	0.00491261335345762	1.02710741723523	0.0836999727875454	1.0004214704033	0.0858318805673419	1.02345028163055	0.00491261335345762	1.02710741723523	0.0836999727875454	1.0004214704033	0.0858318805673419	1	1	1	1	1	1
ctrl	05	A01	4	0.993048687625731	0.017179237275486	1.01309140497333	0.108251043191163	1.01748962267278	0.116119001818903	0.993048687625731	0.017179237275486	1.01309140497333	0.108251043191163	1.01748962267278	0.116119001818903	1	1	1	1	1	1
ctrl	06	A01	4	0.991717777817947	0.022602340692811	0.939250012321932	0.0540250543217354	0.943753248814352	0.0467929884462342	0.991717777817947	0.022602340692811	0.939250012321932	0.0540250543217354	0.943753248814352	0.0467929884462342	1	1	1	1	1	1
ctrl	07	A01	4	0.979696465439007	0.0159616539324608	0.99294929078708	0.0262263147181284	1.01039893149027	0.0361023239561875	0.979696465439007	0.0159616539324608	0.99294929078708	0.0262263147181284	1.01039893149027	0.0361023239561875	1	1	1	1	1	1
ctrl	08	A01	4	1.00675409444508	0.00590555581525495	0.946058972285301	0.131236482803179	0.936552717905883	0.12972744642594	1.00675409444508	0.00590555581525495	0.946058972285301	0.131236482803179	0.936552717905883	0.12972744642594	1	1	1	1	1	1
ctrl	09	A01	4	0.999227265871004	0.0166096211308046	0.941271008339133	0.079562019891882	0.93845159477427	0.0728262849360302	0.999227265871004	0.0166096211308046	0.941271008339133	0.079562019891882	0.93845159477427	0.0728262849360302	1	1	1	1	1	1
ctrl	10	A01	4	1.02396513977703	0.0185438394777421	1.00682404747004	0.103113493900954	0.979822965162761	0.0973109337532622	1.02396513977703	0.0185438394777421	1.00682404747004	0.103113493900954	0.979822965162761	0.0973109337532622	1	1	1	1	1	1
ctrl	11	A01	4	1.0107198540563	0.020533827301299	1.0571477386586	0.0407141313757954	1.04248083398246	0.037827015473983	1.0107198540563	0.020533827301299	1.0571477386586	0.0407141313757954	1.04248083398246	0.037827015473983	1	1	1	1	1	1
ctrl	12	A01	4	1.00901403540721	0.0277805164404279	1.09014050719551	0.130912439836015	1.07628291885537	0.11952542474535	1.00901403540721	0.0277805164404279	1.09014050719551	0.130912439836015	1.07628291885537	0.11952542474535	1	1	1	1	1	1
ctrl	13	A01	3	1.01147926502053	0.0259276974557977	0.998254703300189	0.0808782871072617	0.982717585946804	0.0554670686664743	1.01147926502053	0.0259276974557977	0.998254703300189	0.0808782871072617	0.982717585946804	0.0554670686664743	1	1	1	1	1	1
ctrl	14	A01	4	1.00771948722152	0.0299984664307987	1.03389351244898	0.109044094938215	1.02145177841709	0.0870089482099248	1.00771948722152	0.0299984664307987	1.03389351244898	0.109044094938215	1.02145177841709	0.0870089482099248	1	1	1	1	1	1
ctrl	15	A01	4	0.99724831994849	0.024343319743835	1.03091886189942	0.045273507599734	1.03007625521257	0.0316403533665188	0.99724831994849	0.024343319743835	1.03091886189942	0.045273507599734	1.03007625521257	0.0316403533665188	1	1	1	1	1	1
ctrl	16	A01	4	1.01335288457043	0.00947584923707757	1.0167986999668	0.010502885045768	1.00003826808444	0.0123612639375149	1.01335288457043	0.00947584923707757	1.0167986999668	0.010502885045768	1.00003826808444	0.0123612639375149	1	1	1	1	1	1
ems.tata	02	A02	4	1.13375422443994	0.03267911690881	1.16467535575105	0.111399642574774	1.02402223009848	0.0952887281802181	0.736684216271978	0.021234046241652	1.11776552579993	0.106912779979125	1.47411855963806	0.137171712298919	0.0168854568854569	0.0177374445704857	0.375862068965517	0.377768620583084	0.0346035015447992	0.0327100396641426
sham.wt	03	A02	4	1.02861706052306	0.0299597145104769	1.05562385699158	0.138674251757938	1.02075185329175	0.104449603494815	1.02861706052306	0.0299597145104769	1.05562385699158	0.138674251757938	1.02075185329175	0.104449603494815	1	1	1	1	1	1
