PLATE	POSITION	MASTER	TYPE	CLASS	STRAIN	YFP.MEDIAN.FINAL.MEAN	YFP.SD.FINAL.MEAN	YFP.MEDIAN.CORRECT.MEAN	YFP.SD.CORRECT.MEAN	YFP.MEDIAN.RELATIVE.MEAN	FSC.MEDIAN.RELATIVE.MEAN	YFP.SD.SCALED.MEAN	YFP.CV.MEAN	YFP.CV.RELATIVE.MEAN	YFP.SD.RELATIVE.MEAN	YFP.MEDIAN.FINAL.SD	YFP.SD.FINAL.SD	YFP.MEDIAN.CORRECT.SD	YFP.SD.CORRECT.SD	YFP.MEDIAN.RELATIVE.SD	FSC.MEDIAN.RELATIVE.SD	YFP.SD.SCALED.SD	YFP.CV.SD	YFP.CV.RELATIVE.SD	YFP.SD.RELATIVE.SD	N	P.VAL.MEDIAN	P.VAL.NOISE
1	A02	1	A	EMS	2P01A02	1.0002309353693	0.0574672930761927	1.00523415226169	0.0573046166678087	1.00579792444618	0.999365340195922	0.118301833753906	0.117614377733109	0.993054516378381	1.000869808675	0.00408891705171773	0.00395176353717664	0.000803406378860618	0.00330910422039507	0.00165858273548469	0.00107220170898375	0.00683144081784667	0.00664928400505511	0.0561419584847551	0.0577960852116297	3	0.252026722320689	0.528195488721805
1	A03	1	A	EMS	2P01A03	0.999983141492551	0.0602503232359486	1.00394919878198	0.0601154672215762	1.00314521753044	0.998198650612605	0.124104660720649	0.123712220576744	1.04454048682477	1.04996350512658	0.00501562553676229	0.00545013415807719	0.00405412500412119	0.00505014034729553	0.00836949010644932	0.00270894468977898	0.0104257021255892	0.0102532762620181	0.0865715782026031	0.0882046385979754	4	0.471822851131418	0.43975219411461
1	A04	1	A	SHAM	2P01A04	0.999339881440662	0.0584779180163958	1.00330147456193	0.0583173744233411	1.00180803097454	0.998135244446277	0.120392609446945	0.120172800216719	1.01465606757579	1.01855841249012	0.00369037253012816	0.0050065565548248	0.00240962705160033	0.00470512640444355	0.00497452588366181	0.00200657486101166	0.00971344219814458	0.00963639231762825	0.0813630365356328	0.0821787010897597	4	0.432769597474023	0.559879929613912
1	A05	1	A	EMS	2P01A05	0.996470736970263	0.0582133358341664	1.00038397507059	0.058056315668507	0.99578503387813	0.997803799315622	0.119853669808042	0.120391913963758	1.01650611261528	1.0139988177978	0.00705464523851853	0.00431530708016495	0.00293172913080068	0.00383255350663387	0.00605237330622085	0.00168858908651444	0.00791206946593969	0.00850357647181942	0.0717983224795147	0.0669385351124106	4	0.408008334278848	0.509951531401464
1	A07	1	A	EMS	2P01A07	1.01191755097249	0.0598193431131973	1.01579741114461	0.0594303052813274	1.02760511850717	1.00232904592603	0.122690186308933	0.11938181122859	1.00797750325222	1.03799661764134	0.0054382786221953	0.00315091907122973	0.00338049172058617	0.00250837759481379	0.0069788158928545	0.000252885314988524	0.00517839026712104	0.00451345269509293	0.0381084750836587	0.043810770394984	3	0.0116090401867496	0.43249451811632
1	A09	1	A	EMS	2P01A09	1.00041330877072	0.0571796106831128	1.0043790932617	0.05699343633502	1.00403270807184	0.997363986492749	0.117659421220018	0.117186532145229	0.98944208393988	0.995434801545521	0.00378220621201473	0.00160239634615168	0.000814654685447938	0.000957957330760816	0.00168180416812464	0.00156716603845854	0.0019776436084366	0.00193329341610463	0.0163233934094678	0.0167314716703444	4	0.272092495564999	0.366140513772826
1	A10	1	A	EMS	2P01A10	0.994860553158754	0.0559563303163165	0.998783474634224	0.0557722456759297	0.99248089980384	0.999064759745873	0.115138348700311	0.1160148047072	0.979548827292811	0.974105754561319	0.00400563614088346	0.0023386939754333	0.00203938449146392	0.00188371304625448	0.0042101830375735	0.000624714072241506	0.0038888089755471	0.00403656617000779	0.0340819748660542	0.0329005170234815	4	0.206531596520879	0.417803970223325
1	A12	1	A	EMS	2P01A12	1.01615884210777	0.0636199911455359	1.02024439293422	0.0634708919676668	1.03678563712805	0.999308444533159	0.131031727396392	0.126362404871918	1.06691681133783	1.10856861443411	0.00517615990838338	0.00458145139926149	0.00234567023709721	0.00403023771230811	0.00484249099927135	0.00106268776984314	0.00832017627120839	0.00756352676107892	0.0638611924375618	0.0703912438925462	4	0.000206053862479652	0.274580459178421
1	B01	1	A	EMS	2P01B01	0.99748425249913	0.060815748346024	1.00015123784863	0.0625627866270433	0.995304562290649	1.00290300696966	0.12915700013558	0.129773109486539	1.09571444379453	1.09270784663951	0.00448875586625607	0.00155872563292461	0.00296807219580337	0.00139493887682204	0.00612740131415569	0.00172887884083997	0.00287976495958944	0.00318813978730448	0.0269184488805664	0.0243636950728002	4	0.376305146300194	0.0913411861954949
1	B02	1	A	EMS	2P01B02	1.00113644314059	0.0539820352044674	1.00382283532348	0.0557069195623936	1.00288434799272	0.99837222799063	0.115003486982831	0.114666141729155	0.968161649234881	0.972964783055735	0.0041906020277013	0.00183654370630146	0.0024042980044455	0.00162179614212314	0.0049635243956974	0.000610926628383075	0.00334809774054307	0.00297824949203937	0.0251462802930662	0.0283259340846178	4	0.394772090339598	0.340250667762482
1	B03	1	A	EMS	2P01B03	1.0056702090638	0.0558629200920613	1.00948999229958	0.0574770848623193	1.01458384275297	0.998934259287972	0.118657883665087	0.116954428209423	0.987482358724614	1.00388210016005	0.00413909144524855	0.00138654024151149	0.00048444609105546	0.00166287688566309	0.00100010896607153	0.001521911764557	0.00343290639253918	0.00349278412840876	0.0294906551418555	0.0290434412998813	3	0.0631744204301638	0.440050483803113
