STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	10	A01	4	0.990080372823875	0.0150056727530771	0.985746763260521	0.0173791692043067	0.996701582296144	0.0301549386411814	0.990080372823875	0.0150056727530771	0.985746763260521	0.0173791692043067	0.996701582296144	0.0301549386411814	1	1	1	1	1	1
ctrl	11	A01	4	0.995510369525059	0.0187104046930766	1.00570471211899	0.0350680034007699	1.01080711566343	0.0176525386133835	0.995510369525059	0.0187104046930766	1.00570471211899	0.0350680034007699	1.01080711566343	0.0176525386133835	1	1	1	1	1	1
ctrl	12	A01	4	0.991595249556628	0.00540508810637659	0.99897470067171	0.0259764257843768	1.00820173843098	0.0247006485071762	0.991595249556628	0.00540508810637659	0.99897470067171	0.0259764257843768	1.00820173843098	0.0247006485071762	1	1	1	1	1	1
ctrl	2	A01	4	0.984957123156945	0.0115129391608508	0.994274688936556	0.0227792618912202	1.01026575118446	0.0218172935304521	0.984957123156945	0.0115129391608508	0.994274688936556	0.0227792618912202	1.01026575118446	0.0218172935304521	1	1	1	1	1	1
ctrl	3	A01	4	0.98977852759231	0.0101381821492399	1.0100375059887	0.0589710361397599	1.0209669468245	0.0515673892864246	0.98977852759231	0.0101381821492399	1.0100375059887	0.0589710361397599	1.0209669468245	0.0515673892864246	1	1	1	1	1	1
ctrl	4	A01	4	1.00478208062528	0.0184335162056891	1.02383027381542	0.0462706258252719	1.01946029356417	0.03240020368942	1.00478208062528	0.0184335162056891	1.02383027381542	0.0462706258252719	1.01946029356417	0.03240020368942	1	1	1	1	1	1
ctrl	5	A01	4	0.99670810952852	0.0123389795603099	0.997599588594537	0.0672098903864604	1.00130698060707	0.0591946484243868	0.99670810952852	0.0123389795603099	0.997599588594537	0.0672098903864604	1.00130698060707	0.0591946484243868	1	1	1	1	1	1
ctrl	6	A01	4	1.0002336991482	0.0264069367717058	0.999156732937687	0.0566430789310339	0.99955471597515	0.0460750087477283	1.0002336991482	0.0264069367717058	0.999156732937687	0.0566430789310339	0.99955471597515	0.0460750087477283	1	1	1	1	1	1
ctrl	7	A01	4	0.988454971733741	0.0153346262945094	0.993950643856089	0.0235729634661798	1.00655740094671	0.0304083955060346	0.988454971733741	0.0153346262945094	0.993950643856089	0.0235729634661798	1.00655740094671	0.0304083955060346	1	1	1	1	1	1
ctrl	8	A01	4	0.987694271569313	0.0123420390932303	1.01305036557956	0.0587932425562154	1.02618687731358	0.0511291756859842	0.987694271569313	0.0123420390932303	1.01305036557956	0.0587932425562154	1.02618687731358	0.0511291756859842	1	1	1	1	1	1
