"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",1.00005273885135,0.0028146089035194,0.991242068464909,0.0810099768769138,"wt.1","0","ems"
"EMS",1.0109358748386,0.0148774181357088,1.06947640922729,0.0927648917497068,"wt.1","0","ems"
"EMS",0.997188737761697,0.00641837268400969,0.915747396802896,0.0307873884684284,"wt.1","0","ems"
"SHAM",1.00062664185287,0.00761547222247278,1.02547845950325,0.0372000261689334,"wt.1","0","sham"
"EMS",1.00331626629387,0.00222188845655046,0.975509326284698,0.0298874163714157,"wt.1","0","ems"
"EMS",0.984975268610051,0.00439876900487923,1.01600076092803,0.0572728207844814,"wt.1","0","ems"
"EMS",1.00395966343161,0.00395166820116131,1.10531740344095,0.072248359043439,"wt.1","0","ems"
"EMS",0.997678640812657,0.0060031736959241,1.03951167485003,0.0475027957975317,"wt.1","0","ems"
"EMS",0.99603916996237,0.00276613800228341,0.929923884240174,0.00977650549502483,"wt.1","0","ems"
"EMS",1.0018778065618,0.00248476943533128,0.97726568445541,0.0302631790014804,"wt.1","0","ems"
"EMS",0.997773998751027,0.0059961973691598,1.00096696499178,0.0147377028065207,"wt.1","0","ems"
"EMS",0.991533840560168,0.00315511018145529,0.974174041012995,0.0324634725321877,"wt.1","0","ems"
"EMS",1.00097045739677,0.00919630655107229,0.975569357451053,0.0345174823942849,"wt.1","0","ems"
"SHAM",1.00022961753502,0.00172991646022203,1.05448095477186,0.0497172462254284,"wt.1","0","sham"
"EMS",0.987152302566851,0.00614160241749881,1.02181699279092,0.0776707818278216,"wt.1","0","ems"
"EMS",1.06690852117648,0.00970055001241744,1.01585509419561,0.0737178261789031,"wt.1","0","ems"
"EMS",1.0059810255074,0.00716773651044829,0.957122883601199,0.0278697237696573,"wt.1","0","ems"
"EMS",0.965711852482483,0.00108684872038622,0.990855972208851,0.0133014682240564,"wt.1","0","ems"
"EMS",0.987024887735915,0.00119545030571099,0.911211434562593,0.0133531161616095,"wt.1","0","ems"
"EMS",1.00598695604909,0.00574495176476281,0.994100623735629,0.0289923225756181,"wt.1","0","ems"
"SHAM",0.998997808995912,0.00320953224802461,0.967584471410785,0.0251518111368245,"wt.1","0","sham"
"EMS",1.00133420199969,0.00148116584577037,0.992087862675076,0.0187602974585885,"wt.1","0","ems"
"EMS",0.958872510907563,0.01000340481733,0.901172834339232,0.0192879007396126,"wt.1","0","ems"
"EMS",1.0154349267476,0.00620650914445734,1.06166857036553,0.0502148028808725,"wt.1","0","ems"
"SHAM",0.999532426458835,0.00481239752020863,0.964460678030549,0.0492932812399457,"wt.1","0","sham"
"EMS",0.967741656141944,0.0191436250649048,1.10881427622302,0.187092343545458,"wt.1","0","ems"
"EMS",1.09285178766292,0.0412282494901119,1.70373639277607,0.473250999625166,"wt.1","0","ems"
"EMS",0.965531528630132,0.00791145923176376,0.885464626447981,0.0349955445100903,"wt.1","0","ems"
"EMS",0.997619929222737,0.0121376457774803,1.00310489092616,0.0384969997865539,"wt.1","0","ems"
"EMS",1.12516680094489,0.00236827323930133,1.1228130230848,0.0411074554323084,"wt.1","0","ems"
"EMS",0.990224134763315,0.0102025596544458,0.947553134858007,0.0661658806903316,"wt.1","0","ems"
"EMS",0.923228001736656,0.00842003860599875,0.850883557750038,0.0676733549530025,"wt.1","0","ems"
