STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ems.tata	02	A02	3	0.970497702297142	0.138347589513344	1.65753610144722	0.066938686030124	1.72229279898829	0.16547744575486	0.982240167986817	0.140021516014421	1.05126365935167	0.0424547060946532	1.12237859264733	0.107837844291233	0.347494721664349	0.34022478861621	0.3708755855253	0.367866865272998	0.202830674215131	0.21213055769725
sham.wt	03	A02	4	0.998234059323332	0.0271273759760588	0.982355060086957	0.0865795809933641	0.982338811935999	0.066879002966174	0.998234059323332	0.0271273759760588	0.982355060086957	0.0865795809933641	0.982338811935999	0.066879002966174	1	1	1	1	1	1
ems.m76	04	A02	4	0.729968065085963	0.0394475797462584	0.641165846121075	0.145948675487261	0.875795155832935	0.191407735319626	0.89552236305078	0.0483941579373661	0.842728147413174	0.19183033166049	0.950908679125979	0.207824027747878	0.0823293172690763	0.0809379338715483	0.375283096561664	0.374054054054054	0.389939369026822	0.384504578660356
ems.m76	05	A02	4	0.784693007064384	0.04463211427439	0.628554436500791	0.118456658280567	0.801397066918263	0.155616503233853	0.962658737506505	0.0547545274302465	0.826152108733218	0.155695692129375	0.870129757264891	0.168963121746855	0.368848665603949	0.37701291351546	0.340300658978583	0.340259205924707	0.393363219456897	0.386398684075254
ems.m76	06	A02	4	0.780151334180154	0.0595681435840324	0.816775816410039	0.253242464581189	1.05159335487768	0.325854247738931	0.957087028512619	0.073077997869178	1.07354434859454	0.332853900927456	1.14178440175701	0.353801491411906	0.386542517619219	0.399330931549151	0.42317004069438	0.425812747162447	0.381306097183535	0.380606995884774
sham.wt	07	A02	4	0.995457847504827	0.026487221791857	0.969550904713716	0.0730885470600948	0.972769935865207	0.061152815845789	0.995457847504827	0.026487221791857	0.969550904713716	0.0730885470600948	0.972769935865207	0.061152815845789	1	1	1	1	1	1
ems.tata	08	A02	4	0.982527429912364	0.0733402901765554	1.49471111872157	0.287508816764164	1.51901205898046	0.267462579808608	0.994415448408029	0.0742276656324977	0.947994724802013	0.182347503950875	0.989905211224427	0.174299209802043	0.534170440510498	0.532400020587781	0.568559806395139	0.568946908567611	0.598573481116585	0.594816947758124
sham.tata	09	A02	4	0.908352614184676	0.103907019421362	1.37045263953608	0.323236730105182	1.50486430047738	0.292501602579992	0.919343159943768	0.105164234773427	0.869185929373695	0.205007316239178	0.980685442502677	0.19061656487426	1	1	1	1	1	1
ems.tata	10	A02	4	0.926174574338205	0.0940527234480712	1.33458905127466	0.288140495957014	1.42768067539432	0.169259140444527	0.937380755595588	0.0951907074695635	0.846440067609197	0.18274813557466	0.930386649784605	0.110302287715781	0.309334019028028	0.305350601104174	0.280998555807716	0.285368989457444	0.374549758155809	0.375464108910891
ems.m76	12	A02	4	0.784165451329289	0.0339434764136943	0.602806162513039	0.106839501463417	0.765647303780822	0.11007102216596	0.962011533907979	0.041641742511805	0.792309390241492	0.140426467946657	0.831313876841621	0.119511382999527	0.358844061184683	0.354300715499048	0.290696476406347	0.29025456415531	0.3451682618092	0.343323549101396
